"Dataset_ID","Continent","Basin_Type","Latitude","Longitude","Area_m2","record_type"
7,"North America","Peat",47,-80.1167,NA,"peatland"
8,"North America","Peat",33.95639,-119.977,NA,"peatland"
12,"Europe","Peat",55.93448,13.42774,NA,"peatland"
16,"Europe","Peat",53.694,8.729075,NA,"peatland"
20,"Europe","Lake",69.12326,27.67406,43966.09331,"small lake"
24,"North America","Lake",53.3,-60.54,430322.3236,"small lake"
25,"North America","Lake",52.51667,-57.0333,863081.8296,"large lake"
27,"North America","Lake",54.58333,-57.3667,7196.784032,"small lake"
31,"Asia","Lake",60.14,152.33,791210.7447,"large lake"
202,"North America","Lake",46.41667,-92.7167,30284.45513,"small lake"
203,"North America","Lake",36.03,-85.5,265.3299613,"small lake"
204,"North America","Peat",45.725,-93.25,NA,"peatland"
205,"North America","Lake",46.70169,-85.039,132904.9899,"small lake"
206,"North America","Lake",64.64,-128.08,479644.319,"small lake"
208,"North America","Lake",67.13,-153.9,31838.0361,"small lake"
209,"North America","Lake",47.48,-70.68,53127.09495,"small lake"
214,"North America","Peat",39.495,-95.5267,NA,"peatland"
215,"Europe","Peat",52.95,-6.43333,NA,"peatland"
219,"North America","Lake",45.54,-73.31,5557.031452,"small lake"
221,"North America","Lake",45.39,-79.5,2442730.928,"large lake"
224,"North America","Lake",78.49167,-76.78,NA,"small lake"
225,"Europe","Lake",52.19,-10.31,8966.371874,"small lake"
226,"Europe","Peat",53.16667,-6.25,NA,"peatland"
232,"North America","Lake",30.63,-83.25,161930.5643,"small lake"
234,"North America","Lake",37.6,-119.01,13669.54502,"small lake"
236,"North America","Lake",47.23,-79.78,86643.84067,"small lake"
238,"North America","Lake",46.4,-78.9167,NA,"small lake"
239,"North America","Lake",45.8,-122.49,107929.8493,"small lake"
240,"North America","Peat",41.14389,-81.3286,NA,"peatland"
245,"North America","Peat",47.18,-80.16,NA,"peatland"
250,"North America","Peat",37.47311,-108.16,NA,"peatland"
253,"North America","Lake",65.01667,-127.483,78729.31512,"small lake"
254,"North America","Peat",65.02,-127.47,NA,"peatland"
258,"North America","Lake",54.04722,-76.1203,24024.49608,"small lake"
260,"North America","Lake",42.51,-73.32,32288.89867,"small lake"
267,"North America","Lake",71.76,-124.24,48872.81663,"small lake"
268,"North America","Lake",72.37,-119.84,69677.83353,"small lake"
269,"North America","Lake",73.53444,-120.209,114909.8084,"small lake"
272,"North America","Lake",47.55918,-94.9708,15393.53078,"small lake"
275,"North America","Lake",46.27058,-94.5516,30466.61915,"small lake"
278,"North America","Lake",35.62,-84.19,9158.16765,"small lake"
279,"North America","Lake",44.95611,-110.601,27375.53133,"small lake"
281,"North America","Peat",33.56333,-88.4744,NA,"peatland"
287,"North America","Lake",43.08333,-89.8667,NA,"small lake"
298,"North America","Lake",47.1775,-95.1627,3917.503702,"small lake"
299,"Asia","Lake",42.85,132.7833,336340.3164,"small lake"
302,"North America","Lake",55.575,-119.433,1645154.706,"large lake"
303,"North America","Lake",55.33333,-63.2,369921.2924,"small lake"
304,"North America","Peat",30.36,-97.1261,NA,"peatland"
306,"North America","Lake",47.45778,-69.4528,213421.9763,"small lake"
307,"North America","Lake",55.25,-67.4,371121.2408,"small lake"
308,"North America","Lake",45.56,-70.68,278238.6141,"small lake"
309,"North America","Peat",43.91667,-74.6833,NA,"peatland"
311,"North America","Lake",54.36,-70.35,140888.2224,"small lake"
313,"North America","Lake",45.77978,-89.4925,NA,"small lake"
314,"North America","Lake",44.95769,-93.5451,NA,"small lake"
315,"North America","Lake",40.68056,-82.0625,21919.267,"small lake"
316,"North America","Lake",38.15472,-79.6164,1489.48331,"small lake"
317,"Europe","Lake",70.18109,28.40721,444155.5525,"small lake"
318,"North America","Peat",44.29861,-110.261,NA,"peatland"
321,"North America","Peat",40.79722,-82.9333,NA,"peatland"
324,"North America","Lake",42.60379,-73.5618,1437488.983,"large lake"
328,"North America","Lake",33.5,-86.5333,3107.406224,"small lake"
